id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
120,0,A,4DoF,3.0,3.0,0.23289984464645386,2.969465732574463,2.3441076278686523,0.6253582239151001,42.8242,1,unimanual,0.18691326757101534,0,0
120,0,A,6DoF,1.0,5.0,0.1708366572856903,3.3916327953338623,2.451742172241211,0.9398908019065857,73.4099,2,bimanual,0.13630422011495896,4,2
120,0,B,4DoF,2.0,2.0,0.24668961763381958,3.0627248287200928,2.334591865539551,0.7281326651573181,38.2487,1,unimanual,0.18312718444570017,1,0
120,0,B,6DoF,3.0,7.0,0.20847144722938538,3.1327147483825684,2.40230393409729,0.7304108738899231,77.274099,2,bimanual,0.10355718945787812,4,1
120,0,C,4DoF,0.0,0.0,0.19725386798381805,3.1733691692352295,2.4161596298217773,0.7572097778320312,55.6393,1,unimanual,0.16181782549206103,1,0
120,0,C,6DoF,2.0,6.0,0.1763395369052887,3.2889938354492188,2.446389675140381,0.842604398727417,54.7077,2,bimanual,0.1280063198548774,5,2
120,0,D,4DoF,1.0,1.0,0.20864495635032654,2.965902090072632,2.3804681301116943,0.5854337811470032,53.052,1,unimanual,0.16971237523783303,0,0
120,0,D,6DoF,0.0,4.0,0.15815195441246033,3.5843825340270996,2.473088026046753,1.1112946271896362,81.5603,2,bimanual,0.1716976110730242,0,3
121,1,A,4DoF,0.0,4.0,0.21992719173431396,3.086376667022705,2.9980812072753906,0.08829550445079803,41.2241,1,bimanual,0.1213506816267787,1,0
121,1,A,6DoF,1.0,1.0,0.2164672315120697,3.2390968799591064,3.0053470134735107,0.2337496280670166,60.4608,2,unimanual,0.08272968241729513,2,1
121,1,B,4DoF,1.0,5.0,0.2673466205596924,2.961991548538208,2.930539846420288,0.03145220875740051,45.4794,1,bimanual,0.1539943946040364,0,0
121,1,B,6DoF,3.0,3.0,0.2513844072818756,3.017521858215332,2.9574291706085205,0.06009272485971451,80.1066,2,unimanual,0.137357320083763,0,1
121,1,C,4DoF,3.0,7.0,0.1925802230834961,3.090252637863159,3.0440566539764404,0.04619599133729935,43.4015,1,bimanual,0.1383141806613723,1,0
121,1,C,6DoF,2.0,2.0,0.20010730624198914,3.1733102798461914,3.0334692001342773,0.13984113931655884,73.3525,2,unimanual,0.13636592979063739,0,0
121,1,D,4DoF,2.0,6.0,0.19411621987819672,2.997438669204712,3.0371947288513184,-0.03975613787770271,39.3149,1,bimanual,0.12724977604039417,0,0
121,1,D,6DoF,0.0,0.0,0.2087917923927307,3.159489393234253,3.012840509414673,0.14664852619171143,56.8285,2,unimanual,0.1408031765196623,1,1
122,2,A,4DoF,0.0,0.0,0.24266226589679718,3.8501639366149902,3.330608606338501,0.5195550918579102,53.7963,2,unimanual,0.185961056035645,3,1
122,2,A,6DoF,2.0,6.0,0.23654688894748688,3.8770675659179688,3.349233627319336,0.5278339385986328,70.8976,1,bimanual,0.18341608220426625,5,1
122,2,B,4DoF,1.0,1.0,0.2914223074913025,3.8001508712768555,3.222437620162964,0.5777131915092468,69.9779,2,unimanual,0.2144214124081383,4,1
122,2,B,6DoF,0.0,4.0,0.2692928910255432,4.053861618041992,3.2606120109558105,0.7932499051094055,46.8785,1,bimanual,0.19207908536207977,4,1
122,2,C,4DoF,3.0,3.0,0.22953268885612488,4.258662700653076,3.369713068008423,0.8889498710632324,74.3532,2,unimanual,0.09417462666487286,5,1
122,2,C,6DoF,1.0,5.0,0.2291291356086731,4.16719913482666,3.371070623397827,0.7961285710334778,54.7396,1,bimanual,0.1675054346207677,6,1
